service,zone,mean_dist_m,median_dist_m,pct_within_1km
Health,Informal,857.8097534179688,848.5281372070312,63.1578947368421
Health,Formal (non-informal),2343.79443359375,1386.54248046875,37.8335993338422
Water,Informal,270.9371337890625,70.71067810058594,91.46198830409357
Water,Formal (non-informal),1744.0123291015625,1079.3516845703125,47.007147318020955
Green,Informal,504.6151123046875,400.0,87.36842105263159
Green,Formal (non-informal),1085.980712890625,320.1562194824219,74.6651863160086
Cooling,Informal,276.27099609375,100.0,93.33333333333333
Cooling,Formal (non-informal),722.4069213867188,514.781494140625,77.20352508500451
Retail,Informal,418.3122253417969,269.25823974609375,89.70760233918129
Retail,Formal (non-informal),911.6769409179688,715.8910522460938,64.7255568662827
