service,zone,mean_score,median_score
Health,Informal,0.9461449384689331,0.9467276930809021
Health,Formal (non-informal),0.8528517484664917,0.9129500389099121
Water,Informal,0.977584958076477,0.9941499829292297
Water,Formal (non-informal),0.855715274810791,0.9107035398483276
Green,Informal,0.9624208211898804,0.9702116250991821
Green,Formal (non-informal),0.919126033782959,0.9761576652526855
Cooling,Informal,0.9573715925216675,0.9845701456069946
Cooling,Formal (non-informal),0.8885334730148315,0.9205698370933533
Retail,Informal,0.9484546184539795,0.9668213725090027
Retail,Formal (non-informal),0.8876612186431885,0.9117863178253174
Mobility,Informal,0.5728055238723755,0.5807632207870483
Mobility,Formal (non-informal),0.4812459349632263,0.4726369380950928
